Aménageur;Opérateur;Enseigne;Id station;Nom Station;Adresse;Code INSEE;Nombre Points de charge;ID Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Observations;Date de Mise à Jour;Source;Coordonnees;Code Officiel Région;Code Officiel Département;Code EPCI;Nom de l'EPCI;Commune;Nom de la région;Nom du département
Citroën Hazebrouck;DRIVECO;Citroën Hazebrouck;FR*G44*PSOFIDACITROEN59190*1;Citroën Hazebrouck;88 Route de Borre 59190 Hazebrouck;59295;5;FR*G44*E10382*P1;22.08;EF, T2;Payant;24/24 7/7 jours;;2021-03-03;https://www.data.gouv.fr/fr/datasets/liste-des-bornes-de-recharge-ouvertes-au-public/#resource-5f59d7ca-1b75-4974-bde5-fd9a3b42177d;50.728757, 2.551844;32;59;200040947;CC de Flandre Intérieure;Hazebrouck;HAUTS DE FRANCE;NORD
Communauté Urbaine d'Arras;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H06*P62041*007;ARRAS - Bld Faidherbe;Bld Faidherbe 62000 ARRAS;62041;2;FR*H06*E62041*007*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.290779, 2.782126;32;62;200033579;CU d'Arras;Arras;HAUTS DE FRANCE;PAS DE CALAIS
Communauté Urbaine d'Arras;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H06*P62753*001;SAINT-LAURENT-BLANGY - 8 Rue Laurent Gers;8 Rue Laurent Gers 62223 SAINT-LAURENT-BLANGY;62753;2;FR*H06*E62753*001*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.299244, 2.801606;32;62;200033579;CU d'Arras;Saint-Laurent-Blangy;HAUTS DE FRANCE;PAS DE CALAIS
Communauté d'Agglomération Douaisis Agglo;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H04*P59178*007;DOUAI - Gare de Douai;Gare de Douai 59500 DOUAI;59178;2;FR*H04*E59178*007*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.373363, 3.089998;32;59;200044618;CA Douaisis Agglo;Douai;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Douaisis Agglo;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H04*P59569*002;SIN-LE-NOBLE - Piscine Tournesol;Piscine Tournesol 59450 SIN-LE-NOBLE;59569;2;FR*H04*E59569*002*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.362099, 3.116024;32;59;200044618;CA Douaisis Agglo;Sin-le-Noble;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Douaisis Agglo;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H04*P59165*002;CUINCY - Place Edith Piaf;Place Edith Piaf 59553 CUINCY;59165;2;FR*H04*E59165*002*1;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.384598, 3.0476;32;59;200044618;CA Douaisis Agglo;Cuincy;HAUTS DE FRANCE;NORD
Communauté d'Agglomération Douaisis Agglo;BOUYGUES ENERGIES ET SERVICES;pass pass électrique;FR*H04*P59178*010;DOUAI - Parking Cinéma Majestic;Parking Cinéma Majestic 59500 DOUAI;59178;2;FR*H04*E59178*010*2;22.0;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone;2020-04-03;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-pass-pass-electrique/#resource-4e9608c9-442a-4b39-8ed3-3eb92491a9bb;50.375641, 3.075291;32;59;200044618;CA Douaisis Agglo;Douai;HAUTS DE FRANCE;NORD
SE60;Freshmile;Mouv'Oise;FR*S60*PTHELLE;Le Mesnil-en-Thelle, Parc du Thelle;4 Avenue du Parc du Thelle 60530 Le Mesnil-en-Thelle;60398;2;FR*S60*EYJRB*1;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.1781, 2.28562;32;60;200067973;CC Thelloise;Le Mesnil-en-Thelle;HAUTS DE FRANCE;OISE
SE60;Freshmile;Mouv'Oise;FR*S60*PBORANSUROISE;Boran-sur-Oise , Auchois Dupont;13 rue Auchois Dupont 60820 Boran-sur-Oise;60086;2;FR*S60*EAKKN*2;22.0;T2 – E/F;Gratuit;24h/24 7j/7;;2018-04-20;https://www.data.gouv.fr/fr/datasets/mouvoise/#resource-123f2b49-408e-4107-beb9-6ca3af9b75d1;49.1666, 2.36028;32;60;200067973;CC Thelloise;Boran-sur-Oise;HAUTS DE FRANCE;OISE
USEDA;CITEOS-FRESHMILE;DIRVE 02;FR*S02*P0209517;0017 - rue du cimetière;rue du cimetière 02110 BOHAIN;02095;2;FR*S02*E0209517A;22.0;EF-T2;payant;accessible 24h/24 - 7j/7;recharge normale et accélérée accessible par application smartphone/internet et badge - informations site web useda.fr -facturation en fonction de la puissance et du temps de charge;2017-01-20;https://www.data.gouv.fr/fr/datasets/useda-dirve02/#resource-cd04822a-97ac-4291-9c50-6207764ea73b;49.98639838, 3.451711307;32;02;240200493;CC du Pays du Vermandois;Bohain-en-Vermandois;HAUTS DE FRANCE;AISNE
